Address  Disassembly                                     String                                                                                                                                                                                                                                                                                   
772900C7 push ntdll.772900D5                             "[Pj"
77315FAD push ntdll.7731E76C                             "Status: %08x\n"
77316005 push ntdll.7731E76C                             "Status: %08x\n"
7731605C push ntdll.773160FC                             "AlpcPort = %x, Direct = %p, Pool = %p\n"
77316089 push ntdll.7731E76C                             "Status: %08x\n"
773160E1 push ntdll.7731E76C                             "Status: %08x\n"
77316145 push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316290 push ntdll.7731630C                             "TpReleasePool"
773162EC push ntdll.7731630C                             "TpReleasePool"
773162F6 push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316364 push ntdll.7731638C                             "TppPoolpFree"
7731636E push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
773163A9 push ntdll.7731E7E8                             "Pool = %p\n"
773163B0 push ntdll.77316428                             "TppPoolReserveTaskPost"
773163BA push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
773163E5 push ntdll.7731E76C                             "Status: %08x\n"
773163EC push ntdll.77316428                             "TppPoolReserveTaskPost"
773163F6 push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316453 push ntdll.7731651C                             "Task = %p, Pool = %p\n"
7731645A push ntdll.77316510                             "TpPostTask"
77316464 push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
773164A0 push ntdll.773164F4                             "Releasing a worker thread\n"
773164A7 push ntdll.77316510                             "TpPostTask"
773164B1 push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
773164D9 push ntdll.77316510                             "TpPostTask"
773164E3 push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316545 push ntdll.7731E7E8                             "Pool = %p\n"
7731654C push ntdll.773165BC                             "TppPoolUnreserveTaskPost"
77316582 push ntdll.773165BC                             "TppPoolUnreserveTaskPost"
773165A2 push ntdll.773165BC                             "TppPoolUnreserveTaskPost"
773165FC push ntdll.77316674                             "Pool = %p, Tcb = %p\n"
77316603 push ntdll.77316660                             "TppPoolAddWorker"
7731660D push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316635 push ntdll.77316660                             "TppPoolAddWorker"
7731663F push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
773166D3 push ntdll.773166FC                             "TppPoolRemoveWorker"
773166DD push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316724 push ntdll.77316790                             "TppPoolpDereferenceGlobalPool"
7731672E push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316771 push ntdll.77316790                             "TppPoolpDereferenceGlobalPool"
7731677B push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
773167FB push ntdll.77316814                             "TpDereferenceGlobalPool"
77316805 push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
7731683C push ntdll.7731E818                             "PoolReturn = %p\n"
77316843 push ntdll.77316A8C                             "TpAllocPool"
7731684D push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316896 push ntdll.7731E76C                             "Status: %08x\n"
7731689D push ntdll.77316A8C                             "TpAllocPool"
773168A7 push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316A63 push ntdll.7731E76C                             "Status: %08x\n"
77316A6A push ntdll.77316A8C                             "TpAllocPool"
77316A74 push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316AAF push ntdll.77316C00                             "TppPoolpReferenceGlobalPool"
77316AB6 push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316AD8 push ntdll.7731E76C                             "Status: %08x\n"
77316ADF push ntdll.77316C00                             "TppPoolpReferenceGlobalPool"
77316AE9 push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316B24 push ntdll.7731E76C                             "Status: %08x\n"
77316B2B push ntdll.77316C00                             "TppPoolpReferenceGlobalPool"
77316B35 push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316B82 push ntdll.7731E76C                             "Status: %08x\n"
77316B89 push ntdll.77316C00                             "TppPoolpReferenceGlobalPool"
77316BD9 push ntdll.7731E76C                             "Status: %08x\n"
77316BE0 push ntdll.77316C00                             "TppPoolpReferenceGlobalPool"
77316BEA push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316C31 push ntdll.7731E7E8                             "Pool = %p\n"
77316C38 push ntdll.77316D20                             "TpReserveTaskPost"
77316C42 push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316CA1 push ntdll.7731E76C                             "Status: %08x\n"
77316CA8 push ntdll.77316D20                             "TpReserveTaskPost"
77316CF8 push ntdll.7731E76C                             "Status: %08x\n"
77316CFF push ntdll.77316D20                             "TpReserveTaskPost"
77316D0E push ntdll.772D9788                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
77316D45 push ntdll.7731E7E8                             "Pool = %p\n"
77316DCE push ntdll.77316E70                             "TimerQueueQueue = %p, Timer = %p\n"
77316E18 push ntdll.77316E5C                             "Dequeued Timer %p\n"
77316EA5 push ntdll.7731E82C                             "TimerQueueQueue = %p\n"
77316EFA push ntdll.7731E844                             "TimerQueue = %p\n"
77316F01 push ntdll.77316F44                             "TppTimerpFreeTimerQueue"
77316F2F push ntdll.77316F44                             "TppTimerpFreeTimerQueue"
77316F6F push ntdll.7731E858                             "Timer = %p\n"
77316FE3 push ntdll.77317058                             "Executing Timer callback %p(%p, %p, %p)\n"
773170A7 push ntdll.77317148                             "TimerQueueQueue = %p, Timer = %p, DueTime = 0x%I64x, Window = %d\n"
773170AE push ntdll.7731712C                             "TppTimerpEnqueueTimer"
77317117 push ntdll.7731712C                             "TppTimerpEnqueueTimer"
7731719D push ntdll.7731E858                             "Timer = %p\n"
773171A4 push ntdll.77317278                             "TppTimerpExpire"
773171AE push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
773171BE mov edx,dword ptr ds:[7FFE03B0]                 "zu_"
773171E3 mov ebx,dword ptr ds:[7FFE03B0]                 "zu_"
77317228 mov eax,ntdll.77317268                          "Result = TRUE\n"
77317231 mov eax,ntdll.77317258                          "Result = FALSE\n"
7731723E push ntdll.77317278                             "TppTimerpExpire"
77317248 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317298 mov eax,ntdll.7731E760                          "TRUE"
7731729F mov eax,ntdll.772EC2B8                          "FALSE"
773172AE push ntdll.77317648                             "TimerQueue = %p, DoAbsoluteQueue = %s\n"
773172B5 push ntdll.7731762C                             "TppTimerpExpireTimerQueue"
773172BF push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
7731739E push ntdll.77317608                             "No timers found; canceling ktimer\n"
773173A5 push ntdll.7731762C                             "TppTimerpExpireTimerQueue"
773173AF push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
773173D0 push ntdll.773175DC                             "No timers found; no duetime currently set.\n"
773173D7 push ntdll.7731762C                             "TppTimerpExpireTimerQueue"
773173E1 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317403 push ntdll.773175B8                             "Earliest timer by window end = %p\n"
7731740A push ntdll.7731762C                             "TppTimerpExpireTimerQueue"
77317414 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
7731743A push ntdll.7731758C                             "KTimer already set for due time = 0x%016x\n"
77317441 push ntdll.7731762C                             "TppTimerpExpireTimerQueue"
7731744B push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317477 mov ecx,ntdll.77317580                          "Absolute"
77317481 mov ecx,ntdll.77317574                          "Relative"
773174AB push ntdll.77317500                             "KTimer was set for 0x%016I64x:\n\tNow is 0x%016I64x\n\tEarliest timer is 0x%016I64x\n\tSetting KTimer to 0x%016I64x (%s)\n"
773174B2 push ntdll.7731762C                             "TppTimerpExpireTimerQueue"
773174BC push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
773174E4 push ntdll.7731762C                             "TppTimerpExpireTimerQueue"
773174EE push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317685 push ntdll.7731E844                             "TimerQueue = %p\n"
7731768C mov ebx,ntdll.772C5D84                          "TppTimerpUpdate"
77317697 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
773176B8 push ntdll.7731790C                             "Processing TimerQueue->TransitionQueue\n"
773176C5 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
773176E7 push ntdll.773178F4                             "Processing Timer = %p\n"
773176F4 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317710 mov ecx,ntdll.7731E760                          "TRUE"
7731771A mov ecx,ntdll.772EC2B8                          "FALSE"
77317723 mov eax,ntdll.7731E760                          "TRUE"
7731772A mov eax,ntdll.772EC2B8                          "FALSE"
77317742 push ntdll.77317830                             "Got stable data for Timer = %p : \n   CapturedTimerSet = %hs\n CapturedIsAbsolute = %hs\n    CapturedDueTime = 0x%016I64x\n     CapturedPeriod = %d\n     CapturedWindow = %d\n          NextTimer = %p\n"
77317749 push ntdll.772C5D84                             "TppTimerpUpdate"
77317753 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
773177A7 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
773177C8 push ntdll.77317800                             "TimerQueue->Lock held by another thread\n"
773177D5 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317947 push ntdll.7731E82C                             "TimerQueueQueue = %p\n"
7731794E push ntdll.773179FC                             "TppTimerpTimerExpired"
77317983 push ntdll.773179D8                             "Timer queue %p has no references.\n"
7731798A push ntdll.773179FC                             "TppTimerpTimerExpired"
773179C3 push ntdll.773179FC                             "TppTimerpTimerExpired"
77317A58 push ntdll.7731E76C                             "Status: %08x\n"
77317A5F push ntdll.77317AA0                             "TppTimerpInitTimerQueueQueue"
77317A69 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317ACD push ntdll.77317C24                             "TimerQueueReturn = %p\n"
77317AD4 push ntdll.77317C08                             "TppTimerpAllocTimerQueue"
77317ADE push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317B04 push ntdll.7731E76C                             "Status: %08x\n"
77317B0B push ntdll.77317C08                             "TppTimerpAllocTimerQueue"
77317B15 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317B45 push ntdll.77317BEC                             "Allocated timer queue %p\n"
77317B4C push ntdll.77317C08                             "TppTimerpAllocTimerQueue"
77317B56 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317B7A push ntdll.7731E76C                             "Status: %08x\n"
77317B81 push ntdll.77317C08                             "TppTimerpAllocTimerQueue"
77317B8B push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317C65 push ntdll.77317D40                             "Callback = %p, Context = %p, CallbackEnviron = %p, Flags = 0x%08x\n"
77317C6C push ntdll.77317D30                             "TppTimerAlloc"
77317C76 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317CA6 push ntdll.7731E88C                             "Allocated timer %p\n"
77317CAD push ntdll.77317D30                             "TppTimerAlloc"
77317CB7 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317CDB push ntdll.7731E76C                             "Status: %08x\n"
77317CE2 push ntdll.77317D30                             "TppTimerAlloc"
77317CEC push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317D9E push ntdll.7731E8A0                             "Callback = %p, Context = %p, CallbackEnviron = %p\n"
77317DCA push ntdll.7731E88C                             "Allocated timer %p\n"
77317DF7 push ntdll.7731E76C                             "Status: %08x\n"
77317E4F push ntdll.7731E76C                             "Status: %08x\n"
77317E94 push ntdll.7731E8D8                             "Timer = %p, DueTime = 0x%016I64x, Period = %d, WindowLength = %d\n"
77317E9B push ntdll.773181D0                             "TppTimerpSet"
77317EA5 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317EC6 push ntdll.773181C0                             "Nothing to do.\n"
77317ECD push ntdll.773181D0                             "TppTimerpSet"
77317ED7 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317F0F push ntdll.77318170                             "Setting timer %p to relative time 0x%016I64x from interrupt time 0x%016I64x\n"
77317F16 push ntdll.773181D0                             "TppTimerpSet"
77317F20 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317F43 push ntdll.7731813C                             "Setting timer %p to absolute time 0x%016I64x\n"
77317F4A push ntdll.773181D0                             "TppTimerpSet"
77317F54 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77317FB7 push ntdll.77318124                             "Un-setting timer %p\n"
77317FBE push ntdll.773181D0                             "TppTimerpSet"
77317FC8 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
7731802F push ntdll.77318170                             "Setting timer %p to relative time 0x%016I64x from interrupt time 0x%016I64x\n"
77318036 push ntdll.773181D0                             "TppTimerpSet"
77318040 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
7731806C push ntdll.7731813C                             "Setting timer %p to absolute time 0x%016I64x\n"
77318073 push ntdll.773181D0                             "TppTimerpSet"
7731807D push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
773180B7 push ntdll.77318124                             "Un-setting timer %p\n"
773180BE push ntdll.773181D0                             "TppTimerpSet"
773180C8 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
77318105 push ntdll.773181D0                             "TppTimerpSet"
7731810F push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
773181F2 push ntdll.7731E858                             "Timer = %p\n"
7731821C push ntdll.772EC2B8                             "FALSE"
77318224 push ntdll.7731E864                             "Timer = %p, ValidateForRelease = %hs\n"
77318247 push ntdll.7731E730                             "TRUE\n"
7731826C mov eax,ntdll.7731E760                          "TRUE"
77318275 mov eax,ntdll.772EC2B8                          "FALSE"
77318280 push ntdll.7731831C                             "Result is %hs\n"
773182D6 push ntdll.7731E728                             "FALSE\n"
77318300 push ntdll.7731E91C                             "Timer %p was not valid\n"
7731835A push ntdll.7731E8D8                             "Timer = %p, DueTime = 0x%016I64x, Period = %d, WindowLength = %d\n"
77318384 push ntdll.772EC2B8                             "FALSE"
7731838C push ntdll.7731E864                             "Timer = %p, ValidateForRelease = %hs\n"
773183B3 push ntdll.7731E730                             "TRUE\n"
77318430 push ntdll.7731E728                             "FALSE\n"
77318462 push ntdll.7731E91C                             "Timer %p was not valid\n"
7731848D push ntdll.7731E858                             "Timer = %p\n"
77318494 push ntdll.773185D8                             "TpTimerOutstandingCallbackCount"
773184BB push ntdll.772EC2B8                             "FALSE"
773184C1 push ntdll.7731E864                             "Timer = %p, ValidateForRelease = %hs\n"
773184E8 push ntdll.7731E730                             "TRUE\n"
7731853E push ntdll.773185D8                             "TpTimerOutstandingCallbackCount"
77318591 push ntdll.7731E728                             "FALSE\n"
773185B9 push ntdll.7731E91C                             "Timer %p was not valid\n"
773185C0 push ntdll.773185D8                             "TpTimerOutstandingCallbackCount"
77318608 mov eax,ntdll.7731E760                          "TRUE"
7731860F mov eax,ntdll.772EC2B8                          "FALSE"
7731861B push ntdll.7731877C                             "Timer = %p, CancelPendingCallbacks = %hs\n"
77318622 push ntdll.7731876C                             "TpWaitForTimer"
77318649 push ntdll.772EC2B8                             "FALSE"
7731864F push ntdll.7731E864                             "Timer = %p, ValidateForRelease = %hs\n"
77318676 push ntdll.7731E730                             "TRUE\n"
773186CC push ntdll.7731876C                             "TpWaitForTimer"
7731871F push ntdll.7731E728                             "FALSE\n"
7731874F push ntdll.7731E91C                             "Timer %p was not valid\n"
77318756 push ntdll.7731876C                             "TpWaitForTimer"
773187B9 push ntdll.7731E858                             "Timer = %p\n"
773187C0 push ntdll.773188A4                             "TpReleaseTimer"
773187E7 push ntdll.7731E760                             "TRUE"
773187ED push ntdll.7731E864                             "Timer = %p, ValidateForRelease = %hs\n"
77318814 push ntdll.7731E730                             "TRUE\n"
7731883D push ntdll.773188A4                             "TpReleaseTimer"
77318898 push ntdll.7731E728                             "FALSE\n"
773188C8 push ntdll.77318918                             "TppTimerpFree"
773188D2 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
773188FA push ntdll.77318918                             "TppTimerpFree"
77318904 push ntdll.772B2798                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
7731893C push ntdll.773189C0                             "Wait = %p, WaitStatus = 0x%08x\n"
77318967 push ntdll.773189AC                             "Posting wait %p\n"
773189F3 push ntdll.7731E934                             "Wait = %p\n"
77318A6D push ntdll.77318AE4                             "Executing Wait callback %p(%p, %p, %p, 0x%08x)\n"
77318B31 push ntdll.77318C58                             "WaitReturn = %p, Callback = %p, Context = %p, CallbackEnviron = %p, Flags = %p\n"
77318B38 push ntdll.77318C44                             "TppWaitAlloc"
77318B42 push ntdll.772C4168                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
77318B72 push ntdll.77318C30                             "Allocated wait %p\n"
77318B79 push ntdll.77318C44                             "TppWaitAlloc"
77318B83 push ntdll.772C4168                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
77318BA7 push ntdll.7731E76C                             "Status: %08x\n"
77318BAE push ntdll.77318C44                             "TppWaitAlloc"
77318BB8 push ntdll.772C4168                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
77318CC4 push ntdll.77318D58                             "WaitReturn = %p, Callback = %p, Context = %p, CallbackEnviron = %p\n"
77318CEA push ntdll.7731E76C                             "Status: %08x\n"
77318D3B push ntdll.7731E76C                             "Status: %08x\n"
77318DDA push ntdll.77318EF8                             "Wait = %p, Handle = %p, Timeout = 0x%I64x x100ns, Interrupt = 0x%I64x x100ns\n"
77318DE1 push ntdll.77318EE8                             "TppWaitpSet"
77318DEB push ntdll.772C4168                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
77318E11 mov eax,dword ptr ds:[7FFE03B0]                 "zu_"
77318E3C mov edx,dword ptr ds:[7FFE03B0]                 "zu_"
77318EC2 push ntdll.77318EE8                             "TppWaitpSet"
77318ECC push ntdll.772C4168                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
77318F71 push ntdll.7731E968                             "Wait = %p, Handle = %p, Timeout = 0x%I64x x100ns\n"
77318F78 push ntdll.7731906C                             "TpSetWait"
77318F9F push ntdll.772EC2B8                             "FALSE"
77318FA5 push ntdll.7731E940                             "Wait = %p, ValidateForRelease = %hs\n"
77318FCC push ntdll.7731E730                             "TRUE\n"
77318FFA push ntdll.7731906C                             "TpSetWait"
77319055 push ntdll.7731E728                             "FALSE\n"
773190A1 push ntdll.7731E968                             "Wait = %p, Handle = %p, Timeout = 0x%I64x x100ns\n"
773190A8 push ntdll.7731919C                             "TppSetWaitInterrupt"
773190CF push ntdll.772EC2B8                             "FALSE"
773190D5 push ntdll.7731E940                             "Wait = %p, ValidateForRelease = %hs\n"
773190FC push ntdll.7731E730                             "TRUE\n"
7731912A push ntdll.7731919C                             "TppSetWaitInterrupt"
77319185 push ntdll.7731E728                             "FALSE\n"
773191C3 push ntdll.7731E934                             "Wait = %p\n"
773191CA push ntdll.773192C4                             "TpWaitOutstandingCallbackCount"
773191F1 push ntdll.772EC2B8                             "FALSE"
773191F7 push ntdll.7731E940                             "Wait = %p, ValidateForRelease = %hs\n"
7731921E push ntdll.7731E730                             "TRUE\n"
77319246 push ntdll.773192B8                             "Count = %d\n"
7731924D push ntdll.773192C4                             "TpWaitOutstandingCallbackCount"
773192A0 push ntdll.7731E728                             "FALSE\n"
773192F3 mov eax,ntdll.7731E760                          "TRUE"
77319305 push ntdll.77319410                             "Wait = %p, CancelPendingCallbacks = %hs\n"
7731930C push ntdll.77319400                             "TpWaitForWait"
77319338 push ntdll.7731E940                             "Wait = %p, ValidateForRelease = %hs\n"
7731935F push ntdll.7731E730                             "TRUE\n"
7731938D push ntdll.77319400                             "TpWaitForWait"
773193E8 push ntdll.7731E728                             "FALSE\n"
7731944C push ntdll.7731E934                             "Wait = %p\n"
77319453 push ntdll.77319548                             "TpReleaseWait"
7731947A push ntdll.7731E760                             "TRUE"
77319480 push ntdll.7731E940                             "Wait = %p, ValidateForRelease = %hs\n"
773194A7 push ntdll.7731E730                             "TRUE\n"
773194D5 push ntdll.77319548                             "TpReleaseWait"
77319530 push ntdll.7731E728                             "FALSE\n"
77319564 push ntdll.7731E934                             "Wait = %p\n"
7731956B push ntdll.773195BC                             "TppWaitpFree"
77319575 push ntdll.772C4168                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
7731959D push ntdll.773195BC                             "TppWaitpFree"
773195A7 push ntdll.772C4168                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
773195DC push ntdll.7731E99C                             "Work = %p\n"
7731962B mov eax,ntdll.7731E760                          "TRUE"
77319635 mov eax,ntdll.772EC2B8                          "FALSE"
77319641 push ntdll.7731E9A8                             "Work = %p, CancelPendingCallbacks = %hs\n"
77319648 push ntdll.773196DC                             "TppWorkWait"
77319652 push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
773196C1 push ntdll.773196DC                             "TppWorkWait"
773196CB push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319708 push ntdll.77319790                             "Work = %p, Context = %p, CallbackEnviron = %p, Flags = 0x%08x, CleanupGroupVFuncs = %p, TaskVFuncs = %p\n"
7731970F push ntdll.77319778                             "TppWorkInitialize"
77319719 push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319749 push ntdll.7731E76C                             "Status: %08x\n"
77319750 push ntdll.77319778                             "TppWorkInitialize"
7731975A push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319813 push ntdll.77319968                             "WorkReturn = %p, Callback = %p, Context = %p, CallbackEnviron = %p\n"
7731981A push ntdll.7731995C                             "TpAllocWork"
77319824 push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319854 push ntdll.77319948                             "Allocated Work %p\n"
7731985B push ntdll.7731995C                             "TpAllocWork"
77319865 push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319889 push ntdll.7731E76C                             "Status: %08x\n"
77319890 push ntdll.7731995C                             "TpAllocWork"
7731989A push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319920 push ntdll.7731E76C                             "Status: %08x\n"
77319927 push ntdll.7731995C                             "TpAllocWork"
77319931 push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
773199BC mov eax,ntdll.7731E760                          "TRUE"
773199CE push ntdll.7731E9A8                             "Work = %p, CancelPendingCallbacks = %hs\n"
773199D5 push ntdll.77319AEC                             "TpWaitForWork"
77319A01 push ntdll.7731E9D4                             "Work = %p, ValidateForRelease = %hs\n"
77319A28 push ntdll.7731E730                             "TRUE\n"
77319A51 push ntdll.77319AEC                             "TpWaitForWork"
77319AA9 push ntdll.7731E728                             "FALSE\n"
77319ADA push ntdll.77319AEC                             "TpWaitForWork"
77319B0D push ntdll.7731E99C                             "Work = %p\n"
77319B14 push ntdll.77319C08                             "TpReleaseWork"
77319B3B push ntdll.7731E760                             "TRUE"
77319B41 push ntdll.7731E9D4                             "Work = %p, ValidateForRelease = %hs\n"
77319B68 push ntdll.7731E730                             "TRUE\n"
77319B96 push ntdll.77319C08                             "TpReleaseWork"
77319BF1 push ntdll.7731E728                             "FALSE\n"
77319C2B push ntdll.77319C7C                             "TppWorkpFree"
77319C35 push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319C5D push ntdll.77319C7C                             "TppWorkpFree"
77319C67 push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319CA0 mov eax,ntdll.772EC2B8                          "FALSE"
77319CAF push ntdll.77319E04                             "Instance = %p, Work = %p, Release = %hs\n"
77319CB6 push ntdll.77319DE4                             "TppWorkCallbackPrologRelease"
77319CC0 push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319D6C push ntdll.77319DD0                             "Returning FALSE\n"
77319D73 push ntdll.77319DE4                             "TppWorkCallbackPrologRelease"
77319D7D push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319DA0 push ntdll.77319DC0                             "Returning TRUE\n"
77319DA7 push ntdll.77319DE4                             "TppWorkCallbackPrologRelease"
77319DB1 push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319E40 push ntdll.7731E99C                             "Work = %p\n"
77319E47 push ntdll.77319EAC                             "TppWorkPost"
77319E51 push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319E93 push ntdll.77319EAC                             "TppWorkPost"
77319E9D push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319ECB push ntdll.7731E99C                             "Work = %p\n"
77319ED2 push ntdll.77319F84                             "TppWorkCallbackEpilog"
77319EDC push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319F69 push ntdll.77319F84                             "TppWorkCallbackEpilog"
77319F73 push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
77319FAF push ntdll.7731E99C                             "Work = %p\n"
77319FD9 push ntdll.772EC2B8                             "FALSE"
77319FE1 push ntdll.7731E9D4                             "Work = %p, ValidateForRelease = %hs\n"
7731A008 push ntdll.7731E730                             "TRUE\n"
7731A085 push ntdll.7731E728                             "FALSE\n"
7731A0D4 push ntdll.7731E99C                             "Work = %p\n"
7731A148 push ntdll.7731A1BC                             "Executing Work callback %p(%p, %p, %p)\n"
7731A2A6 push ntdll.7731A458                             "ThreadPool: callback %p(%p) returned with a transaction uncleared\n"
7731A2E0 push ntdll.7731A418                             "ThreadPool: callback %p(%p) returned with the loader lock held\n"
